Feature,Importance,Feature_Rank,Target
akan1,1.296677393618691,1,kessler_dummy2
emp_stat1,1.0567645647736252,2,kessler_dummy2
radio_listening1,0.9118169192892972,3,kessler_dummy2
happy_life1,0.7759194241468402,4,kessler_dummy2
educ1,0.7233226414506815,5,kessler_dummy2
elec_ntnlgrid1,0.699284560433135,6,kessler_dummy2
errands1,0.6953109823520843,7,kessler_dummy2
work_father1,0.6761115329924766,8,kessler_dummy2
maritalstatus1,0.6571557585235858,9,kessler_dummy2
rur_primsec1,0.6550225255055089,10,kessler_dummy2
savings_yn1,0.5768508727246242,11,kessler_dummy2
outtrans_yn1,0.5755722779742959,12,kessler_dummy2
work_mother1,0.5684957939348353,13,kessler_dummy2
borrow_yn1,0.5387700989537282,14,kessler_dummy2
kessler_dummy1,0.48060890294905784,15,kessler_dummy2
labor_community1,0.440100786557476,16,kessler_dummy2
alert_community1,0.3368219000479701,17,kessler_dummy2
man_decides1,0.2867779435037673,18,kessler_dummy2
emp_work_stat1,0.28038045918081783,19,kessler_dummy2
rel_stat1,0.2763293104089013,20,kessler_dummy2
